按照开盘价排序,日期:20210616
序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
76,cn_002056,横店东磁,12.05,11.96,-0.83%
77,cn_002064,华峰化学,12.39,11.95,-2.61%
78,cn_600956,新天绿能,12.85,11.93,-6.21%
79,cn_002152,广电运通,12.09,11.86,-2.79%
80,cn_300030,阳普医疗,11.71,11.68,-0.26%
81,cn_002202,金风科技,11.7,11.49,-1.96%
82,cn_600088,中视传媒,11.27,11.27,-0.27%
83,cn_000567,海德股份,10.21,11.04,8.34%
84,cn_601198,东兴证券,10.68,10.72,0.47%
85,cn_002736,国信证券,10.62,10.64,0.19%
86,cn_002438,江苏神通,10.48,10.35,-1.24%
87,cn_601009,南京银行,10.07,10.32,2.99%
88,cn_600409,三友化工,10.7,10.23,-4.93%
89,cn_300441,鲍斯股份,10.29,10.2,-1.07%
90,cn_300024,机器人,9.91,10.2,2.51%
91,cn_300746,汉嘉设计,10.05,10.11,0.20%
92,cn_002092,中泰化学,10.24,9.92,-3.88%
93,cn_002416,爱施德,9.96,9.85,-1.10%
94,cn_000885,城发环境,9.68,9.64,-0.52%
95,cn_600707,彩虹股份,9.8,9.6,-2.74%
96,cn_600886,国投电力,9.57,9.58,0.10%
97,cn_002027,分众传媒,9.41,9.28,-1.07%
98,cn_002066,瑞泰科技,9.23,9.18,-1.08%
99,cn_002090,金智科技,9.08,8.88,-2.09%
100,cn_002423,中粮资本,8.78,8.76,-0.23%
101,cn_603167,渤海轮渡,8.45,8.6,0.70%
102,cn_600151,航天机电,8.88,8.51,-2.96%
103,cn_600917,重庆燃气,8.96,8.47,-4.83%
104,cn_002091,江苏国泰,8.51,8.19,-4.99%
105,cn_002097,山河智能,8.25,8.11,-1.93%
106,cn_000582,北部湾港,8.21,8.11,-1.22%
107,cn_603105,芯能科技,8.02,8.1,1.00%
108,cn_002187,广百股份,8.1,8.1,0.00%
109,cn_002081,金螳螂,7.89,7.95,1.02%
110,cn_603066,音飞储存,8.03,7.92,-2.46%
111,cn_002166,莱茵生物,8.09,7.87,-2.60%
112,cn_600019,宝钢股份,7.76,7.69,-1.16%
113,cn_601186,中国铁建,7.4,7.52,1.62%
114,cn_002473,*ST圣莱,7.49,7.51,0.13%
115,cn_002107,沃华医药,7.41,7.41,0.00%
116,cn_002208,合肥城建,7.31,7.36,0.41%
117,cn_002068,黑猫股份,7.39,7.31,-1.48%
118,cn_000705,浙江震元,7.31,7.2,-1.50%
119,cn_002199,东晶电子,7.21,7.15,0.14%
120,cn_002177,御银股份,7.26,7.09,-2.34%
121,cn_002375,亚厦股份,7.18,7.02,-2.77%
122,cn_002057,中钢天源,6.91,6.85,-1.30%
123,cn_600722,金牛化工,6.68,6.84,1.63%
124,cn_600797,浙大网新,7.05,6.81,-5.68%
125,cn_600012,皖通高速,6.79,6.65,-1.34%
126,cn_601139,深圳燃气,6.71,6.64,-1.19%
127,cn_000736,中交地产,6.36,6.44,1.26%
128,cn_002116,中国海诚,6.46,6.33,-2.16%
129,cn_002285,世联行,6.36,6.19,-1.90%
130,cn_300240,飞力达,6.21,6.17,-0.64%
131,cn_600029,南方航空,6.19,6.14,-0.65%
132,cn_600692,亚通股份,6.22,6.14,-1.60%
133,cn_600098,广州发展,6.02,6.14,2.33%
134,cn_600874,创业环保,6.14,6.1,-0.65%
135,cn_000425,徐工机械,6.16,6.05,-1.79%
136,cn_600864,哈投股份,5.95,5.99,0.50%
137,cn_600829,人民同泰,5.98,5.89,-1.51%
138,cn_002206,海利得,5.95,5.77,-4.15%
139,cn_002162,悦心健康,5.78,5.6,-2.95%
140,cn_600678,四川金顶,5.52,5.5,-0.54%
141,cn_002061,浙江交科,5.43,5.47,0.74%
142,cn_002492,恒基达鑫,5.47,5.46,0.18%
143,cn_000601,韶能股份,5.39,5.43,1.31%
144,cn_002452,长高集团,5.45,5.38,-1.10%
145,cn_601390,中国中铁,5.25,5.35,2.10%
146,cn_000759,中百集团,5.3,5.28,-0.56%
147,cn_000421,南京公用,5.33,5.27,-1.31%
148,cn_600901,江苏租赁,5.25,5.23,-0.57%
149,cn_300013,新宁物流,5.2,5.22,1.36%
150,cn_601398,工商银行,5.16,5.17,0.19%
151,cn_600769,祥龙电业,5.1,5.15,0.59%
152,cn_601158,重庆水务,5.14,5.14,-0.19%
153,cn_601368,绿城水务,5.08,5.07,-0.20%
154,cn_300184,力源信息,5.07,4.99,0.40%
155,cn_600905,三峡能源,4.61,4.95,7.14%
156,cn_002357,富临运业,4.9,4.92,1.03%
157,cn_601668,中国建筑,4.86,4.88,0.41%
158,cn_000875,吉电股份,5.07,4.82,-5.30%
159,cn_002109,兴化股份,4.87,4.75,-2.66%
160,cn_600028,中国石化,4.74,4.7,0.43%
161,cn_002270,华明装备,4.63,4.56,-1.51%
162,cn_000560,我爱我家,4.58,4.53,-0.22%
163,cn_002264,新华都,4.36,4.37,0.00%
164,cn_002244,滨江集团,4.31,4.34,0.70%
165,cn_002225,濮耐股份,4.25,4.28,0.71%
166,cn_002218,拓日新能,4.4,4.27,-2.29%
167,cn_002062,宏润建设,4.31,4.24,-1.85%
168,cn_000757,浩物股份,3.86,3.84,-0.52%
169,cn_601669,中国电建,3.81,3.83,0.79%
170,cn_601199,江南水务,3.7,3.67,-2.39%
171,cn_300117,嘉寓股份,3.53,3.59,1.70%
172,cn_002204,大连重工,3.54,3.57,0.56%
173,cn_600657,信达地产,3.55,3.56,0.00%
174,cn_002682,龙洲股份,3.44,3.41,-0.87%
175,cn_002377,国创高新,3.38,3.38,0.00%
176,cn_601099,太平洋,3.36,3.38,0.30%
177,cn_002314,南山控股,3.38,3.36,-0.30%
